classifier,accuracy,precision,recall,f1,roc_auc,time_seconds,memory_kb
RandomForestClassifier,0.8095238095238095,0.782608695652174,0.8571428571428571,0.8181818181818182,0.8095238095238095,97.70065259933472,504
VotingClassifier,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,69.07813119888306,1288
LogisticRegression,0.7380952380952381,0.7272727272727273,0.7619047619047619,0.7441860465116279,0.7380952380952381,0.958601713180542,310
SVC,0.7142857142857143,0.7368421052631579,0.6666666666666666,0.7,0.7142857142857142,0.5618278980255127,244
MLPClassifier,0.7142857142857143,0.7368421052631579,0.6666666666666666,0.7,0.7142857142857142,20.383013010025024,1208
AdaBoostClassifier,0.6904761904761905,0.6538461538461539,0.8095238095238095,0.723404255319149,0.6904761904761905,93.88918781280518,643
GradientBoostingClassifier,0.6904761904761905,0.6538461538461539,0.8095238095238095,0.723404255319149,0.6904761904761905,46.877790212631226,899
KNeighborsClassifier,0.6428571428571429,0.6875,0.5238095238095238,0.5945945945945946,0.6428571428571428,0.4557352066040039,293
DecisionTreeClassifier,0.6190476190476191,0.5714285714285714,0.9523809523809523,0.7142857142857143,0.6190476190476191,0.5328521728515625,324
